SIGN ID,LOCATION DESCRIPTION,LIMIT,LATITUDE,LONGITUDE
28181,ALLIES ROAD,80,-36.736017,144.141555
28184,ALLIES ROAD,80,-36.734547,144.145063
28185,ALLIES ROAD,100,-36.73438,144.146299
28316,ALLIES ROAD,80,-36.710618,144.213344
28314,ALLIES ROAD,80,-36.709948,144.214196
30197,ALLINGHAM STREET,60,-36.802023,144.249984
30195,ALLINGHAM STREET,60,-36.795607,144.249343
30193,ALLINGHAM STREET,60,-36.791012,144.250597
30192,ALLINGHAM STREET,60,-36.787545,144.251542
30190,ALLINGHAM STREET,60,-36.784168,144.25245
30189,ALLINGHAM STREET,60,-36.781589,144.253334
9362,ALLISON STREET,50,-37.790056,144.795458
9364,ALLISON STREET,40,-37.789151,144.795613
9366,ALLISON STREET,40,-37.787943,144.79582
9377,ALLISON STREET,40,-37.787297,144.795931
9379,ALLISON STREET,40,-37.786676,144.796037
61306,ALLISON ROAD,50,-37.881483,145.006709
61307,ALLISON ROAD,40,-37.881433,145.006114
1134,ALLOWAH TERRACE,40,-37.818493,144.995804
66742,ALLSOPS ROAD,60,-37.776056,145.551109
55620,ALLSOPS ROAD,60,-37.773411,145.539284
51265,ALLUMBA DRIVE,50,-37.689581,145.122954
96744,ALMA AVENUE,40,-37.880853,145.287753
96742,ALMA AVENUE,40,-37.880776,145.285703
96756,ALMA AVENUE,40,-37.880741,145.284757
9772,ALMA AVENUE,40,-37.868858,144.779925
9770,ALMA AVENUE,40,-37.868774,144.778927
1451,ALMA ROAD,60,-37.863716,145.009631
52262,ALMA ROAD,60,-37.865557,145.024461
61394,ALMA ROAD,60,-37.864858,145.018733
12868,ALMANDS AVENUE,40,-37.635453,144.930779
12865,ALMANDS AVENUE,40,-37.634098,144.932407
68033,ALMER AVENUE,50,-37.812168,145.166714
68341,ALMOND STREET,40,-37.787822,145.088515
68342,ALMOND STREET,40,-37.788388,145.088406
68343,ALMOND STREET,50,-37.790384,145.08802
69103,ALMOND STREET,50,-37.028465,145.935842
11079,ALOHA STREET,50,-37.830728,144.867086
52240,ALSTON GROVE,40,-37.872941,145.00763
39802,ALTAIR AVENUE,40,-38.018525,144.40824
9617,ALTONA ROAD,50,-37.865557,144.845437
9619,ALTONA ROAD,50,-37.862752,144.849407
9598,ALTONA ROAD,60,-37.857063,144.852181
13347,ALTONA STREET,50,-37.746461,145.047455
13338,ALTONA STREET,40,-37.746229,145.045802
13337,ALTONA STREET,40,-37.746173,145.045324
13336,ALTONA STREET,40,-37.746008,145.043924
13571,ALVA GROVE,40,-37.741174,144.974529
96747,ALVINA ,50,-37.880535,145.288214
63179,AMBERLY PARK DRIVE,40,-38.049836,145.284739
63181,AMBERLY PARK DRIVE,40,-38.048981,145.285045
63184,AMBERLY PARK DRIVE,50,-38.047652,145.287414
13155,AMBROSE STREET,50,-37.669162,144.945723
13153,AMBROSE STREET,40,-37.669089,144.945097
13147,AMBROSE STREET,40,-37.668855,144.943091
6344,AMELIA AVENUE,40,-37.754058,144.774429
68073,AMERY AVENUE,50,-37.827645,145.139277
55763,AMESBURY AVENUE,40,-37.857534,145.232029
55765,AMESBURY AVENUE,40,-37.855689,145.234564
55769,AMESBURY AVENUE,40,-37.85546,145.235165
66968,AMESBURY AVENUE,40,-37.856186,145.233606
66973,AMESBURY AVENUE,40,-37.855143,145.236071
66978,AMESBURY AVENUE,50,-37.854184,145.237789
26975,AMESS ROAD,80,-37.45573,144.69592
26978,AMESS ROAD,60,-37.455272,144.692012
26979,AMESS ROAD,60,-37.454824,144.688337
51824,AMIEL STREET,50,-37.940698,145.158035
60772,AMIEL STREET,40,-37.939353,145.158304
37870,AMOORE AVENUE,40,-38.18579,144.32259
